學校名稱,在學學生數小計,在學學生數男,在學學生數女,在學學生數男比例,在學學生數女比例
國立臺灣體育運動大學,15604,9240,6364,59%,41%
國立雲林科技大學,48856,29361,19495,60%,40%
大漢技術學院,5446,3278,2168,60%,40%
國立臺灣大學,160942,95763,65179,60%,40%
宏國學校財團法人宏國德霖科技大學,29010,17530,11480,60%,40%
逢甲大學,104954,64113,40841,61%,39%
國立臺東專科學校,5534,3400,2134,61%,39%
國立中山大學,48057,29496,18561,61%,39%
正修學校財團法人正修科技大學,88337,53482,34855,61%,39%
明新學校財團法人明新科技大學,60942,37481,23461,62%,38%
國立體育大學,12683,7866,4817,62%,38%
崑山科技大學,55832,34587,21245,62%,38%
國立成功大學,108163,68267,39896,63%,37%
大同大學,21046,13169,7877,63%,37%
城市學校財團法人臺北城市科技大學,49818,31475,18343,63%,37%
南榮學校財團法人南榮科技大學,3861,2488,1373,64%,36%
華夏學校財團法人華夏科技大學,21035,13503,7532,64%,36%
國立高雄科技大學,112757,72034,40723,64%,36%
中華大學學校財團法人中華大學,28453,18086,10367,64%,36%
健行學校財團法人健行科技大學,55813,36404,19409,65%,35%
國立宜蘭大學,27513,17824,9689,65%,35%
大華學校財團法人敏實科技大學,7466,4870,2596,65%,35%
國立中央大學,59772,38811,20961,65%,35%
國立高雄應用科技大學,11822,7720,4102,65%,35%
吳鳳科技大學,25102,16659,8443,66%,34%
遠東科技大學,26157,17446,8711,67%,33%
東南科技大學,27773,18735,9038,67%,33%
亞東技術學院,17891,12065,5826,67%,33%
和春技術學院,6007,4011,1996,67%,33%
亞東學校財團法人亞東科技大學,4223,2857,1366,68%,32%
建國科技大學,35788,24376,11412,68%,32%
國立聯合大學,38153,25989,12164,68%,32%
國立臺灣海洋大學,44118,29860,14258,68%,32%
國立高雄海洋科技大學,7694,5225,2469,68%,32%
南開科技大學,21586,14587,6999,68%,32%
國立陽明交通大學,78776,53895,24881,68%,32%
中華學校財團法人中華科技大學,27005,18616,8389,69%,31%
聖約翰科技大學,15076,10475,4601,69%,31%
國立臺灣科技大學,55830,38978,16852,70%,30%
龍華科技大學,57255,39817,17438,70%,30%
高苑科技大學,21687,15382,6305,71%,29%
國立臺北科技大學,67058,49072,17986,73%,27%
修平學校財團法人修平科技大學,25620,18777,6843,73%,27%
明志科技大學,22622,16611,6011,73%,27%
國立勤益科技大學,59630,44201,15429,74%,26%
國立虎尾科技大學,54144,41767,12377,77%,23%
